NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sex,Age
NCT06557538,A Comparison of Automatic ABPI vs Manual ABPI Device Scores,https://clinicaltrials.gov/study/NCT06557538,,NOT_YET_RECRUITING,"The aim of the study is to compare the Ankle Brachial Pressure Index (ABPI) scores of two devices. The two devices that will be compared are the MESI MD ABPI automatic device and the Huntleigh Dopplex manual device.

The Huntleigh Dopplex manual device is widely used, though the MESI MD ABPI automatic devices can reduce waiting times, reduce discomfort for patients and save nursing time. ABPI devices provide a score that supports nurses to provide suitable treatment for patients with a lower limb ulcer.

In the community, patients with lower limb ulcers are offered an ABPI assessment and then treatment is decided based on the score. Participants will be patients with lower limb ulcers referred to community nursing for a lower limb and ABPI assessment. At their routine appointment patients will have a manual assessment and an automatic assessment, and the results will be compared. The study will take place in the county of Berkshire either in patients' homes or in the lower limb clinic. Registered nurses will undertake all assessments. The direct care part of the study will run from July 2024 - December 2024. The data will be pseudonymised, and the findings written as a report that may be sent for publishing.",NO,Lower Limb Ulcers,DEVICE: Automatic Ankle Brachial Pressure Index device assessment|DEVICE: Manual Ankle Brachial Pressure Index assessment,"Ankle Brachial Pressure score, Difference between ABPI scores from automatic and manual ABPI device., Through study completion of average of 7 months","Difference in lower limb ulcer classification, Difference in lower limb ulcer classification between automatic and manual ABPI device., Through study completion of average of 7 months",,ALL,"ADULT, OLDER_ADULT"
NCT06557525,Focused Research On Neurofeedback Therapy In Eradicating Depression (FRONTIER),https://clinicaltrials.gov/study/NCT06557525,,RECRUITING,"This is an exploratory study to test the efficacy of a novel EEG neurofeedback method in depressed patients. The investigators will measure the change in depressive symptoms before and after the intervention of the novel EEG neurofeedback method using the Depression Rating Scale (primary endpoint). In addition, The investigators will measure the changes in brain activity before and after the intervention using fMRI, and compare the changes in depressive symptoms over the treatment period (secondary endpoint).",NO,Depression,BEHAVIORAL: Neurofeedback,"HAMD21 change after intervention, HAMD21(Hamilton Depression Rating Scale, 21-item version) score change compared to baseline., 4 weeks after the start of the intervention","HAMD21 compared to baseline, HAMD21(Hamilton Depression Rating Scale, 21-item version) score compared to baseline., 2 and 4 weeks after the start of the intervention and 4, 12, and 24 weeks after the end of the intervention|MADRS compared to baseline, MADRS(Montgomery Åsberg Depression Rating Scale) score compared to baseline., 2 and 4 weeks after the start of the intervention and 4, 12, and 24 weeks after the end of the intervention|SDS compared to baseline, SDS(Self-rating Depression Scale) score compared to baseline., 2 and 4 weeks after the start of the intervention and 4, 12, and 24 weeks after the end of the intervention|HAMD21 after intervention, HAMD21(Hamilton Depression Rating Scale, 21-item version) score, 4 weeks after the start of the intervention|MADRS after intervention, MADRS(Montgomery Åsberg Depression Rating Scale) score, 4 weeks after the start of the intervention|HAMD21 response rate, HAMD21(Hamilton Depression Rating Scale, 21-item version) response rate (\>=50% reduction), 8 weeks after the start of the intervention|HAMD21 remission rate, HAMD21(Hamilton Depression Rating Scale, 21-item version) remission rate (\<=7 points), 8 weeks after the start of the intervention|duration of remission after the end of the intervention, duration of remission if remission occurred after the end of the intervention in HAMD21(Hamilton Depression Rating Scale, 21-item version), up to 24 weeks after the end of the intervention|Quality of life assessment (EQ-5D-3L), Quality of life assessment (EQ-5D-3L(EuroQol 5 dimensions 3-level)), 2 and 4 weeks after the start of the intervention and at 4, 12 and 24 weeks after the end of the intervention|PHQ-9 score, PHQ-9(Patient Health Questionnaire-9) score, 2 and 4 weeks after the start of the intervention and at 4, 12, and 24 weeks after the end of the intervention|changes in brain activity, EEG data acquired with a portable electroencephalograph (EEG) to provide feedback on the state of the DLPFC in the brain, 2 and 4 weeks after the start of the intervention",,ALL,"ADULT, OLDER_ADULT"
NCT06557512,Adjuvant Hypofractionated Stereotactic Radiosurgery for Intermediate-risk Meningioma,https://clinicaltrials.gov/study/NCT06557512,SRS-AIM,NOT_YET_RECRUITING,"This clinical trial tests the safety and effectiveness of hypofractionated stereotactic radiosurgery for treating patients who have undergone surgical resection for grade II meningiomas or grade I meningiomas that have come back after a period of improvement (recurrent). Radiation therapy uses high energy x-rays, particles, or radioactive seeds to kill tumor cells and shrink tumors. Stereotactic radiosurgery is a type of external radiation therapy that uses special equipment to position a patient and precisely deliver radiation to tumors in the body. Hypofractionated radiation therapy delivers higher doses of radiation therapy over a shorter period of time and may kill more tumor cells and have fewer side effects. Hypofractionated stereotactic radiosurgery may be safe, tolerable, and effective in treating patients with grade II or recurrent grade I meningiomas after surgical resection.",NO,"Meningioma|Meningioma, Malignant|Recurrent Meningioma",RADIATION: Hypofractionated Stereotactic Radiosurgery (SRS)|PROCEDURE: Magnetic Resonance Imaging (MRI)|PROCEDURE: Computed Tomography (CT),"Proportion of participants with reported adverse events, Adverse events will be classified and graded according to National Cancer Institute Common Terminology Criteria for Adverse Events (CTCAE) version 5.0. The proportion of CTCAE grade 3-5 toxicity within 1 year of radiation will be estimated along with the exact 90% confidence interval., Up to 1 year","Median Local Freedom from recurrence (LFFR), Local freedom from recurrence (LFFR) is defined as time from start of treatment to date of an event as defined by the above criteria, dated to the imaging study date on which recurrence was assessed. The 3-year LFFR will be estimated by the Kaplan-Meier method. Median LFFR will be estimated, if possible, from the Kaplan-Meier method., Up to 3 years|Median Progression-Free Survival (PFS), Progression free survival (PFS) is defined as the duration of time from start of treatment to date of death or progressive disease (PD) per Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1, dated to the imaging study date on which PD was assessed. The 3-year PFS will be estimated by the Kaplan-Meier method. Median PFS will be estimated, if possible, from the Kaplan-Meier method., Up to 3 years|Median overall survival (OS), Overall survival (OS) is defined as the duration of time from start of treatment to date of death or censored at the date of final visit if lost to follow-up. The 3-year OS will be estimated by the Kaplan-Meier method. Median OS will be estimated, if possible, from the Kaplan-Meier method., Up to 3 years|Mean score on the Comprehensive Score for Financial Toxicity-Functional Assessment of Chronic Illness Therapy (COST-FACIT) over time, The COST-FACIT is an 11-item measure used to assess financial toxicity. Each item is measured on a five-point Likert scale (0 = not at all, 4 = very much), with recall based on the past 7 days related to the participant's disease management. A score is computed by first reverse coding seven items, then taking the sum of all items, multiplying the sum by 1the number of items on the scale, and dividing that number by the number of items answered. Higher scores indicate better Financial Well-Being., Up to 3 months|Frequency of responses on the Brief Work and Transportation Survey, The Brief Work and Transportation Survey contains 10-items modeled after items from the National Health Interview Survey asking participants information about current employment, time taken off work for cancer treatment, the transportation burden, and time burden of treatment). Items will be reported categorically based on most frequent response., Up to 3 months|Mean score Decision Regret Scale (DRS), The 5-item Decision Regret Scale (Brehaut et al., 2003) was developed to measure regret after health-care decisions Item responses are scored on a scale from 1 (strongly agree) to 5 (strongly disagree). Two of the items are reverse coded and total scores are transformed to a scale of 0-100 by subtracting 1 from each item then multiply the response by 25. To obtain a final score the items are summed and averaged. A score of 0 means no regret and a score of 100 indicates very high regret., Up to 1 year|Mean score on the European Organisation for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC QLQ) 30 - Global Health Status over time, The global health status score consists of responses to two items with responses ranging from 1=""very poor"" to 4=""excellent"". The raw score is calculated by estimating the mean of the two items that make up the global health scale with a resulting total range of 1-7. These scores are then transformed to standardized scale score, so that scores range from 0 to 100. A high score for the global health status represents a higher quality of life., Up to 3 years|Mean score on the European Organisation for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC QLQ) 30 - Functional Domains over time, The functional domains measure the quality of life in Physical functioning, Role functioning, Emotional functioning, Cognitive functioning, Social functioning. Scores consists of responses to items with responses ranging from 1=""Not at all"" to 4=""Very Much"". The raw score is calculated by estimating the mean of the items that make up each domains with a resulting total range of 1 - 4. These scores are then transformed to standardized scale score, so that scores range from 0 to 100. A high score for the functional domains represents a high level of functioning, Up to 3 years|Mean score on the European Organisation for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC QLQ) 30 - Symptoms over time, The Pain score consists of responses to two items with responses ranging from 1=""Not at all"" to 4=""Very Much"". The raw score is calculated by estimating the mean of the two items that make up the pain scale with a resulting total range of 1-4. These scores are then transformed to standardized scale score, so that scores range from 0 to 100. A high score for the pain scale / item represents a high level of symptomatology / problems., Up to 3 years|Mean score on the EORTC QLQ Brain Cancer Module (BN20) over time, The EORTC QLQ-BN20 consists of 20 questions; seven single item symptom scales (headaches, seizures, drowsiness, hair loss, itchy skin, leg weakness and bladder control), along with four multi-item scales (future uncertainty, visual disorder, motor dysfunction and communication deficit). Raw scores for the QLQ-BN20 items are computed by calculating the mean of the items in each subscale, or the item for each individual and linearly transform the scores to a 0-100 scale. A higher score represents worse QOL for all QLQ-BN20 scales and single items., Up to 3 years",,ALL,"ADULT, OLDER_ADULT"
NCT06557499,A 3-way Crossover Clinical Investigation to Assess the Performance of Two Different Sized Polyurethane Condoms Versus a Latex Condom in Healthy Monogamous Couples.,https://clinicaltrials.gov/study/NCT06557499,,NOT_YET_RECRUITING,"This investigation is designed to evaluate the performance rate of two polyurethane male condoms with different sizes and thicknesses versus a standard natural rubber latex (NRL) male condom.

The purpose of this study is to see how well the experimental condoms perform compared to the latex rubber condom (for example, how often the different condom types break or slip off the penis).

Sponsor also wants to find out how well couples like using the three condom types and whether they experience any problems when using the condoms (for example, irritation or discomfort).",NO,Contraception|Control of Pregnancy|Prevention of Sexually Transmitted Infections,DEVICE: Polyurethane (PU) male condom-Test condom 1|DEVICE: Polyurethane (PU) male condom-Test condom 2|DEVICE: Natural Rubber Latex (NRL) male condom- Control condom,"Total clinical failure rate of Polyurethane (PU) male (Test condom 1) condom compared to Natural Rubber Latex (NRL) male condom., The total clinical failure rate (combined breakage and slippage) of PU male test condom (Test condom 1) compared to the NRL male control condom.

Clinical failure rate is calculated as the number of condoms with at least 1 acute clinical failure event divided by the number of condoms used during intercourse, reported as a percentage. Clinical failure events, defined in ISO 29943-1:2017, will be reported by participants., within 8 hours following each coital act for each condom use|Total clinical failure rate of Polyurethane (PU) male (Test condom 2) condom compared to Natural Rubber Latex (NRL) male condom., The total clinical failure rate (combined breakage and slippage) of PU male test condom (Test condom 2) compared to the NRL male control condom.

Clinical failure rate is calculated as the number of condoms with at least 1 acute clinical failure event divided by the number of condoms used during intercourse, reported as a percentage. Clinical failure events, defined in ISO 29943-1:2017, will be reported by participants., within 8 hours following each coital act for each condom use","Clinical breakage rate of PU Male Test Condom 1 compared to NRL male control condom, The total clinical breakage rate of the PU male test condom (Test condom 1) compared to the NRL male control condom when used during vaginal intercourse.

The total clinical breakage rate is determined from the number of condoms broken or torn during vaginal intercourse or withdrawal from the vagina divided by the number of condoms used during intercourse, reported as a percentage., within 8 hours following each coital act for each condom use|Clinical slippage rate of PU Male Test Condom 1 compared to NRL male control condom, The total clinical slippage rate of the PU male test condom (Test condom 1) compared to the NRL male control condom when used during vaginal intercourse.

The total clinical slippage rate is determined from the number of condoms that slipped completely off the penis during intercourse or withdrawal from the vagina, divided by the number of condoms used during vaginal intercourse, reported as a percentage., within 8 hours following each coital act for each condom use|Clinical breakage rate of PU Male Test Condom 2 compared to NRL male control condom, The total clinical breakage rate of the PU male test condom (Test condom 2) compared to the NRL male control condom when used during vaginal intercourse.

The total clinical breakage rate is determined from the number of condoms broken or torn during vaginal intercourse or withdrawal from the vagina divided by the number of condoms used during intercourse, reported as a percentage., within 8 hours following each coital act for each condom use|Clinical slippage rate of PU Male Test Condom 2 compared to NRL male control condom, The total clinical slippage rate of the PU male test condom (Test condom 2) compared to the NRL male control condom when used during vaginal intercourse.

The total clinical slippage rate is determined from the number of condoms that slipped completely off the penis during intercourse or withdrawal from the vagina, divided by the number of condoms used during vaginal intercourse, reported as a percentage., within 8 hours following each coital act for each condom use|Non-clinical breakage rate for each of the PU male condoms (test condom 1 and test condom 2) and the NRL male control condom., The total non-clinical breakage rate for each of the PU male test condom and the NRL male control condom when used during vaginal intercourse.

The total non-clinical breakage rate is determined from the number of condoms that tear during handling., within 8 hours following each coital act for each condom use|Non-clinical slippage respectively of each PU male test condom (test condom 1 and test condom 2) and the NRL male control condom., The total non-clinical slippage rate for each of the PU male test condoms and the NRL male control condom when used during vaginal intercourse.

The total non-clinical slippage rate is determined from the number of observations where the user fails to hold onto the condom at the base of the penis during withdrawal and/ or because the user delayed withdrawal after sex., within 8 hours following each coital act for each condom use|User acceptability of the 2 PU male test condoms (test condom 1 and test condom 2) and the NRL male control condom., User acceptability, experience, and preference for each condom type will be evaluated through participant-perceived questions.

Participant's experience on the use of each type of condoms \[Acceptability as assessed by participant perceived questionnaires (designed by following ISO 29943-1), within 8 hours following each coital act for each condom use|In-use tolerability of the 2 PU male test condoms (test condom 1 and test condom 2) and the NRL male control condom., The in-use tolerability of each condom type will be evaluated through participant-perceived questions (designed by following ISO 29943-1)., 5 weeks for each condom type","Safety assessment of the 2 PU male test condoms (test condom 1 and test condom 2) and the NRL male control condom., Assessment of the safety of the two PU male test condoms and the NRL male control condom, measured by the overall proportion of participants with Adverse Events / Adverse Device Effects (AEs/ADEs), defined as the occurrence of one or more AEs/ADEs per participant., 19 weeks|Impact of additional lubricant use on condom performance, Evaluation of total clinical failure, clinical breakage, clinical slippage, non-clinical breakage, and non-clinical slippage rates for each condom type (PU male test condoms and NRL male control condom) according to whether additional lubricant was used., As soon as possible and within 2 (+6) hours after each coital act.|Sexual pleasure during the use of 2 PU male test condoms and NRL male control condoms, Evaluation of sexual pleasure during the use of the two PU male test condoms and NRL male control condom via the EMSEX pleasure scale and Quality of Sexual Experience (QSE) Scale, with scores analyzed for each item, subscale, and overall scale., 19 weeks|Correlations among condom size, fit, and performance, Evaluation of correlations among size, fit, and performance of the two PU male test condoms and NRL male control condom, considering factors such as erect penile size (length and girth), user condom size preference (previous and during the investigation), size of each condom type used, comfort/fit with condoms, and condom performance measures (total clinical failure, clinical breakage, clinical slippage, nonclinical breakage, and nonclinical slippage rates)., 19 weeks",ALL,ADULT
NCT06557486,The Effects of Mindfulness-Based Stress Reduction Program for Family or Caregivers of Children With Motor Disabilities,https://clinicaltrials.gov/study/NCT06557486,,NOT_YET_RECRUITING,"The present study aims to investigate the effect of a mindfulness-based program on perceived stress, severity of anxiety, parents'/caregivers' quality of life and their children, cortisol and IL-6 blood concentrations.",NO,"Stress, Psychological|Stress, Emotional|Stress",BEHAVIORAL: Mindfulness-Based Stress reduction,"Perceived Stress, To measure participants perceived stress, the Perceived Stress Scale 14 item Spanish version will be used (PSS 14). It consists of 14 items scored from 0 up to 4 (0=never, 1 = rarely 2= sometimes 3= usually 4 =almost always). The total scores on the scale can range from 0 (no stress) to 56 (extreme stress)., baseline, two months (through study completion), and follow-up of one month|Cortisol levels, The cortisol measurement will be sampled with a serum blood test. It is recommended to advise the participants to be fasted. 63 Cortisol levels fluctuate throughout the day, being highest in the morning and lowest at night.63,64 The sample will be collected between 8-9 am to get the highest cortisol., baseline and two months (through study completion)","Severity of clinic anxiety, To measure the severity of clinic anxiety, the Bech Anxiety Inventory will be used. It consists of 21 self-administered questions about how the individual has been feeling the last week, expressed in common anxiety symptoms. It takes up to 5-10 minutes. Scores 0-7 indicate minimal anxiety, 8-15 mild anxiety, 16-25 moderate anxiety and 26-63 severe anxiety. Each item on the BAI includes an anxiety symptom and for each of them, the participant must assess the degree to which they have been affected by it during the last week. Possible answers are: not at all, mildly but it didn't bother me much, moderately it wasn't pleasant at times, severely it bothered me a lot. (0 to 3 respectively)., baseline, two months (through study completion), and follow-up of one month|Sleep Quality, To measure sleep quality, the Pittsburgh Sleep Quality Index (PSQI) will be assessed. It is a self-rated questionnaire which assesses sleep quality and disturbances over a 1-month time interval. The instrument should require between 5 and 10 min for completion. The questionnaire consists of a combination of Likert-type and open-ended questions (later converted to scaled scores using provided guidelines). Respondents are asked to indicate how frequently they have experienced certain sleep difficulties over the past month and to rate their overall sleep quality. Scores for each question range from 0 to 3, with higher scores indicating more acute sleep disturbances. Developers have suggested a cutoff score of 5 for the global scale. The seven component scores are then combined to produce a global PSQI score, which ranges from 0 to 21; higher scores reflect poorer sleep quality, baseline, two months (through study completion), and follow-up of one month|Quality of Life assessment, To measure the impact of paediatric chronic health conditions on parents and the family, the last developed PedsQL™ Family Impact Module will be used. The module measures multidimensions parent self-report; physical, emotional, social, and cognitive functioning, communication, and worry. It is used to assess health-related QoL in children aged 2-18 years. It takes up to 5-10 minutes to be completed.It assesses 8 main factors: physical functioning (6 items), emotional functioning (5 items), social functioning (4 items), cognitive functioning (4 items), communication (3 items), worry (5 items), daily activities (3 items) and family relationships (5 items). The answers are given on a 5-point Likert scale (0 = it is never a problem, 4 = it is almost always a problem) and are reversed scored and linearly transformed to a 0-100 scale (0 = 100, 1 = 75, 2 = 50, 3 = 25, 4 = 0) so that a greater score indicates better functioning, baseline, two months (through study completion), and follow-up of one month|Blood pressure, BP will be measured, after 5 min of rest, three times at intervals of 1 minute using a sphygmomanometer. The clinical BP values used in the analysis will be the averages for the three measurements. BP measurements will be done pre-intervention, post-intervention and with a follow-up of one mont. both systolic and diastolic measures., baseline, two months (through study completion), and follow-up of one month|Resting Heart rate, HR will be measured, after 5 min of rest, three times at intervals of 1 minute using a pulsometer on the index finger. The clinical HR values used in the analysis will be the averages for the three measurements., baseline, two months (through study completion), and follow-up of one month|Respiratory rate, Respiratory rate will be measured after 5 min of rest, three times at intervals of 1 minute using the same sphygmomanometer of the BP. The clinical RR values used in the analysis will be the averages for the three measurements. RR measurements will be done pre-intervention, post-intervention and with a follow-up of one month., baseline, two months (through study completion), and follow-up of one month|Interleukin 6 (IL-6), The same procedure will be taken for the IL-6 .65 Under homeostatic conditions, IL-6 levels in the circulation are as low as 1-5 pg/ml, but during inflammatory states, these levels can rise more than 1,000-fold, baseline and two months (through study completion)",,ALL,"ADULT, OLDER_ADULT"
NCT06557473,Lidocaine Versus Fentanyl for Hemodynamic Stability,https://clinicaltrials.gov/study/NCT06557473,,COMPLETED,"Hypertension is an important health challenge that affects millions of people across the world today and is a major risk factor for multiple system comorbidities. Intraoperative hypotension may lead to negative outcomes. 'Post-induction hypotension' (PIH; i.e. arterial hypotension defined as hypotension during the first 20 min after anesthesia induction, or from anesthesia induction until the beginning of surgery) and 'early intraoperative hypotension' (eIOH; i.e. arterial hypotension occurring during the first 30 min of surgery). Lidocaine is a local anesthetic drug with multiple systemic uses. Systemic lidocaine used as at the perioperative period has analgesic, and anti-inflammatory properties which make it capable of reducing intra- and postoperative drug consumptions and patients' hospital stay. Therefore, we hypothesize that the use of lidocaine as an adjuvant to propofol might reduce the risk of post induction hypotension and hence having more stable hemodynamic profile during induction of anesthesia.",NO,Hypertension,DRUG: Lidocaine IV|DRUG: Fentanyl,"MAP, Mean Arterial blood pressure 1 minute after induction of anesthesia., 1 minute after GA induction","Number of hypotensive episodes, MAP less than 65 mmHg., 20 minutes",,ALL,ADULT
NCT06557460,"A PHASE IIB, RANDOMIZED, ASSESSOR-MASKED, MULTICENTER CLINICAL TRIAL TO ASSESS THE SAFETY AND EFFICACY OF SUBRETINAL IMPLANTATION OF THE CPCB-RPE1 IMPLANT IN SUBJECTS WITH ADVANCED, DRY AMD (GEOGRAPHIC ATROPHY)",https://clinicaltrials.gov/study/NCT06557460,PATCH-AMD,NOT_YET_RECRUITING,"This is a Phase IIb randomized, clinical trial designed to assess the safety and efficacy of unilateral implantation of the CPCB-RPE1 implant in subjects with geographic atrophy involving the fovea.

Up to 6 surgical implantation sites will deliver the CPCB-RPE1 in this Phase IIb clinical trial. Additional study sites may serve as referral or follow-up sites. Twenty-four (24) subjects will participate in the trial and will be randomized 3:1 to one of 2 groups:

* The treatment group receiving the CPCB-RPE1 implant (up to 18 subjects).
* The control group receiving a simulated ""sham"" implantation procedure (up to 6 subjects)",NO,Dry Age-related Macular Degeneration|Geographic Atrophy,DEVICE: Surgical implantation of the CPCB-RPE1 implant,"Change in retinal sensitivity, Change in retinal sensitivity by microperimetry, 1 year post implantation","Change in best corrected visual acuity, Change in best corrected visual acuity, 1 year post implantation",,ALL,"ADULT, OLDER_ADULT"
NCT06557447,An Exploratory Clinical Investigation Evaluating Two Abutment Surfaces,https://clinicaltrials.gov/study/NCT06557447,Exploratory,NOT_YET_RECRUITING,A total of 22 subjects will be included in the study. The subjects who were treated with NobelActive TiUnite and On1 machined abutment will be enrolled in the control group and subjects who were treated with NobelActive TiUltra and On1 Base Xeal abutments will be enrolled in the test group. Two peri-implant crevicular fluid (PICF) samples will be collected for immunological testing and two plaques samples will be collected for microbiological testing from all the enrolled subjects one from the control/test implant site and one from the contralateral tooth/implant site. 3 weeks after the first sampling PICF and plaques sampling will be repeated the same way.,NO,Peri-implant Crevicular Fluid,DIAGNOSTIC_TEST: Immunological and microbiological sample of peri-implant crevicular fluid; clinical evaluation,"Evaluate immunological markers in peri-implant crevicular fluid, Immunological sample collection of subgingival area (per-implant crevicular fluid) on implant and contralateral tooth/implant for test and control group, 2 samples collections with 3 weeks of interval|Evaluate microbiological response in peri-implant crevicular fluid, Microbiological sample collection of subgingival area (per-implant crevicular fluid) on implant and contralateral tooth/implant for test and control group, 2 samples collections with 3 weeks of interval|Bleeding Index, Bleeding on probing will be assessed on implant and contralateral tooth/implant for test and control group, Pre-treatment/initial visit|Gingival Index, Gingival status will be assessed on implant and contralateral tooth/implant for test and control group, Pre-treatment/initial visit|Plaque Index, Dental plaque will be assessed on implant and contralateral tooth/implant for test and control group, Pre-treatment/initial visit",,,ALL,"CHILD, ADULT, OLDER_ADULT"
NCT06557434,AV-23-001 AVAVA MIRIA Pilot Study,https://clinicaltrials.gov/study/NCT06557434,,RECRUITING,"This non-significant risk study is intended to demonstrate the use of the MIRIA Skin Treatment System can show improvement in dermatologic conditions currently indicated for treatment with a laser (such as, but not limited to, benign pigmented lesions, benign cutaneous lesions, wrinkles, textural irregularities, or scars). The study is also intended to assist in determination of the optimal laser configuration and treatment parameters that most consistently yield results.",NO,Wrinkle|Acne Scars - Mixed Atrophic and Hypertrophic|Pigmented Lesions|Skin Laxity|Scars,DEVICE: MIRIA,"Global Aesthetic Improvement Scale (GAIS), Scale used to compare before and after images of subjects treated. Scores include the following:

1. - Very Much Improved
2. - Much Improved
3. - Improved
4. - No Change
5. - Worse, 3 Months","Subject Questionnaire, Questionnaire that evaluates the subjects impression of the treatment (overall discomfort score, satisfaction with treatment results, notes on treatment sensation)., Immediate Post Treatment, 3 Months Post Treatment|Adverse Event Assessment, An assessment of side effects and adverse event profile to ensure safety of treatment. Data collected included the event, the duration, the severity, and any other interventions that may occur due to the adverse event., Immediate Post Treatment, 3 Months Post Treatment",,ALL,"ADULT, OLDER_ADULT"
NCT06557421,De-Escalation Study Evaluating Venetoclax and Azacitidine Discontinuation in AML Responding Patients,https://clinicaltrials.gov/study/NCT06557421,STOP VEN,NOT_YET_RECRUITING,"The goal of this clinical trial is to test efficacy and safety of a VENETOCLAX-AZACITIDINE (VEN-AZA) de-escalation strategy in Acute Myeloid Leukemia responding patients. The main objectives of the study are:

* Evaluation of the efficacy of VEN-AZA de-escalation strategy by measuring the effect of VEN-AZA discontinuation in term of Disease-Free Survival.
* Evaluation of the other efficacy parameters and safety of VEN-AZA de-escalation strategy.

Patients from the prospective study will be compared to a retrospective cohort of patients who will be selected on the basis of identical eligibility criteria.

Participants will:

* Stop VEN-DASA treatment
* Be closely monitored by regular evaluation of the disease",NO,Acute Myeloid Leukemia,DRUG: Venetoclax|DRUG: Azacitidine,"Disease-Free Survival, measured from inclusion (VEN-AZA de-escalation) to the date of morphologic or MRD relapse or death from any cause, whichever occurs first, 24 months","Efficacy of VEN-AZA de-escalation in term of absolute duration of hematologic response, Absolute duration of hematologic response, 24 months|Efficacy of VEN-AZA de-escalation in term of absolute duration of MRDneg response, Absolute duration of MRDneg response, 24 months|Efficacy of VEN-AZA de-escalation in term of cumulative incidence of relapse, cumulative incidence of relapse, 24 months|Efficacy of VEN-AZA de-escalation in term of overall survival, overall survival, 24 months|Efficacy of VEN-AZA de-escalation in term of second complete remission occurence, second complete remission occurence, 24 months|Efficacy of VEN-AZA de-escalation in term of time to second remission, time to second remission, 24 months|Adverse-events associated with VEN-AZA de-escalation : hospitalization rate, hospitalization rate, 24 months|Adverse-events associated with VEN-AZA de-escalation : transfusion occurrence, transfusion occurrence, 24 months|Adverse-events associated with VEN-AZA de-escalation : grade 3-4 adverse events (CTCAE v5.0), grade 3-4 adverse events (CTCAE v5.0), 24 months|Identify potential predictive factors (age) associated with duration of response and survival after VEN-AZA de-escalation, age, 24 months|Identify potential predictive factors (FAB classification) associated with duration of response and survival after VEN-AZA de-escalation,, FAB classification, 24 months|Identify potential predictive factors (cytogenetic and molecular alterations assessment) associated with duration of response and survival after VEN-AZA de-escalation,, cytogenetic and molecular alterations assessment, 24 months|Identify potential predictive factors (number of prior VEN-AZA cycles) associated with duration of response and survival after VEN-AZA de-escalation,, number of prior VEN-AZA cycles., 24 months",,ALL,"ADULT, OLDER_ADULT"
NCT06557408,Pancreatic Fistula After Minimally Invasive Enucleation,https://clinicaltrials.gov/study/NCT06557408,,COMPLETED,"Patients suffering from postoperative pancreatic fistula (POPF) after minimally invasive enucleation (MEN) show a characteristic pattern of longer duration and milder symptoms, which is different from pancreatic fistula after standard pancreatectomy. This study aimed to analyze the factors influencing clinically-relevant POPF (CR-POPF) after minimally invasive enucleation, investigate and develop a personalized predictive model for accurate prediction of CR-POPF after minimally invasive enucleation.",NO,"Pancreatic Tumor, Benign|Pancreatic Neuroendocrine Tumor|Solid Pseudopapillary Tumor of the Pancreas",,"Incidence of Clinically Relevant Postoperative Pancreatic Fistula, Clinically Relevant Pancreatic Fistula including Grade B fistulas, which require treatment beyond simple drainage, as well as Grade C fistulas., Within 90 days after surgery.","Perioperative complication rate according to the Clavien-Dindo classification, Adverse events occurring during or after surgery reported according to the Clavien-Dindo classification., Within 90 days after surgery.",,ALL,"ADULT, OLDER_ADULT"
NCT06557395,UNMET CARE PERCEPTIONS OF INTENSIVE CARE NURSES,https://clinicaltrials.gov/study/NCT06557395,,COMPLETED,This study was conducted to determine the perceptions of intensive care nurses regarding unmet care. A qualitative descriptive approach. The study was completed between April and September 2023 by conducting semi-structured individual interviews with 20 intensive care nurses in a Training and Research Hospital in Turkey and analyzed using the inductive content analysis method.,NO,Nurse's Role,,"What is the perception of care among intensive care nurses?, This study is a qualitative design study conducted with intensive care nurses. In the study, a purposeful sampling method was used in accordance with the qualitative research approach. The number of participants was determined according to data saturation and was based on the voluntary participation of a total of 20 intensive care nurses. During the interview, participants were asked to fill out a personal information form and expert opinions on the subject, as well as in-depth interview questions in a semi-structured information form consisting of eight questions. Data were collected through face-to-face individual interviews with nurses working in the intensive care unit of a Training and Research Hospital between April and September 2023. In-depth interview questions were prepared in line with literature knowledge and expert opinions were obtained., April-September 2023|What are the thoughts of intensive care nurses regarding the perception of unmet care?, After the interviews were completed, the raw data were manually transcribed by the researchers. The content analysis method was used in the evaluation of the data. The data were read several times by the researchers and codes were created from each word, sentence and paragraph. The analysis of the data was carried out manually using the level coding system and themes were created. Level coding was applied as open coding (first level), selective coding (second level), themes (third level) (Yıldırım \& Şimşek 2016). After this stage, the relevant codes were classified and themes and sub-themes were created (Elo \& Kyngäs, 2008; Vaismoradi et al., 2013)., April-September 2023",,,ALL,ADULT
